MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name,Unnamed: 0,pricePerHr,pricePerS,Iops,Memory
flights-m200,Azure,256,64,10M,0,1,stringSearch_firstName,8.237697124481201,0.07516898626089097,,22.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,1,1,stringSearch_firstName,1.3683180809020996,0.01248590248823166,,23.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,0,stringSearch_firstName,14.644891262054443,0.13363463276624682,,24.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,1,stringSearch_firstName,7.7110114097595215,0.07036297911405565,,25.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,1,1,stringSearch_firstName,1.5632669925689695,0.014264811307191849,,26.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,0,stringSearch_firstName,14.81280779838562,0.1351668711602688,,27.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,1,stringSearch_firstName,8.698095321655273,0.07937011981010438,,28.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,1,1,stringSearch_firstName,1.6136970520019531,0.014724985599517824,,29.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,0,stringSearch_firstName,30.874738693237305,0.28173199057579046,,30.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,1,stringSearch_firstName,14.533741474151611,0.13262039095163347,,31.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,0,stringSearch_firstName,31.43999695777893,0.2868899722397328,,32.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,1,stringSearch_firstName,15.007950067520142,0.1369475443661213,,33.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,0,stringSearch_firstName,32.903539419174194,0.30024479719996455,,34.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,1,stringSearch_firstName,15.912479639053345,0.1452013767063618,,35.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,0,stringSearch_firstName,33.04638934135437,0.30154830273985866,,36.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,1,stringSearch_firstName,15.79207706451416,0.14410270321369173,,37.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,0,stringSearch_firstName,32.88966202735901,0.300118165999651,,38.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,1,stringSearch_firstName,15.617737770080566,0.1425118571519852,,39.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,0,stringSearch_firstName,70.49529552459717,0.6432695716619492,,40.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,1,stringSearch_firstName,36.62288308143616,0.334183808118105,,41.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,0,stringSearch_firstName,69.16275572776794,0.6311101460158826,,42.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,1,stringSearch_firstName,35.72386908531189,0.32598030540347106,,43.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,0,stringSearch_firstName,70.08689904212952,0.6395429537594319,,44.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,1,stringSearch_firstName,35.917394161224365,0.32774622172117235,,45.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,0,stringSearch_firstName,69.5194730758667,0.6343651918172837,,46.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,1,stringSearch_firstName,36.10161995887756,0.3294272821247578,,47.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,0,stringSearch_firstName,69.81330585479736,0.637046415925026,,48.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,1,stringSearch_firstName,35.356581687927246,0.32262880790233617,,49.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,0,stringSearch_firstName,150.14151740074158,1.370041346281767,,50.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,1,stringSearch_firstName,79.93396973609924,0.7293974738419057,,51.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,0,stringSearch_firstName,150.59935092926025,1.3742190772295,,52.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,1,stringSearch_firstName,73.28998374938965,0.6687711017131807,,53.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,0,stringSearch_firstName,148.79652667045593,1.3577683058679106,,54.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,1,stringSearch_firstName,73.7482533454895,0.6729528117775918,,55.0,32.85,0.009125000000000001,1100,256
